所属概念数量,market_code,code,所属概念,股票代码
10,17,600188,煤炭概念;煤化工概念;高股息精选;同花顺漂亮100;沪股通;融资融券;国企改革;参股银行;风电;小金属概念,600188.SH
1,17,600280,物业管理,600280.SH
9,17,600737,新疆振兴;农业种植;乡村振兴;西部大开发;国企改革;央企国企改革;沪股通;融资融券;中字头股票,600737.SH
6,17,603407,注册制次新股;比亚迪概念;小金属概念;牙科医疗;新股与次新股;融资融券,603407.SH
14,17,600152,固态电池;锂电池概念;钠离子电池;新型烟草(电子烟);无人机;消费电子概念;华为汽车;换电概念;共同富裕示范区;机器人概念;储能;两轮车;数据中心(AIDC);华为概念,600152.SH
40,33,002657,数字货币;Web3.0;移动支付;互联网金融;区块链;华为鲲鹏;智慧政务;鸿蒙概念;AIGC概念;ChatGPT概念;信创;AI应用;数据确权;虚拟数字人;财税数字化;元宇宙;AI智能体;在线教育;百度概念;智谱AI;数字经济;语音技术;多模态AI;腾讯概念;阿里巴巴概念;DeepSeek概念;人工智能;智慧城市;化债概念(AMC概念);短剧游戏;算力租赁;工业互联网;华为概念;京津冀一体化;东数西算(算力);智能座舱;数据中心(AIDC);期货概念;深股通;融资融券,002657.SZ
25,33,001314,多模态AI;AI PC;空间计算;鸿蒙概念;智能音箱;元宇宙;AIGC概念;数字货币;MR(混合现实);电子竞技;DeepSeek概念;智能穿戴;虚拟现实;物联网;人工智能;AI眼镜;先进封装;智能家居;消费电子概念;机器人概念;粤港澳大湾区;PCB概念;专精特新;2025年报预增;深股通,001314.SZ
20,33,003004,语音技术;无人机;军工;低空经济;智能医疗;军工信息化;人脸识别;高铁;雄安新区;安防;车联网(车路协同);人工智能;信创;京津冀一体化;智慧城市;数字经济;数据要素;网络安全;多模态AI;摘帽,003004.SZ
19,17,603890,AI PC;富士康概念;汽车电子;消费电子概念;5G;AI眼镜;数据中心(AIDC);F5G概念;华为概念;人形机器人;华为汽车;特斯拉概念;小米汽车;新能源汽车;机器人概念;比亚迪概念;人民币贬值受益;沪股通;融资融券,603890.SH
18,17,605398,MLOps概念;华为鲲鹏;信创;AIGC概念;阿里巴巴概念;数据要素;腾讯概念;百度概念;蚂蚁集团概念;互联网金融;数字经济;人工智能;短剧游戏;华为概念;数据中心(AIDC);机器人概念;长三角一体化;沪股通,605398.SH
