股票代码,code,market_code,所属概念,所属概念数量
001389.SZ,001389,33,共封装光学(CPO);PCB概念;AI PC;富士康概念;5G;汽车电子;消费电子概念;数据中心;卫星导航;商业航天;华为概念;安防;粤港澳大湾区;机器人概念;人工智能;2026一季报预增;人民币贬值受益;一带一路;深股通;融资融券,20
002943.SZ,002943,33,HJT电池;TOPCON电池;工业母机;比亚迪概念;第三代半导体;稀土永磁;光伏概念;芯片概念;智能穿戴;AI眼镜;深股通;融资融券,12
600184.SH,600184,17,光纤概念;共封装光学(CPO);国产航母;军民融合;军工;机器视觉;AI眼镜;专精特新;人形机器人;机器人概念;央企国企改革;回购增持再贷款概念;国企改革;沪股通;融资融券,15
000791.SZ,000791,33,超超临界发电;绿色电力;风电;东数西算(算力);国企改革;西部大开发;股权转让(并购重组);融资融券;深股通,9
000672.SZ,000672,33,储能;一带一路;创投;西部大开发;水泥概念;绿色电力;高股息精选;深股通;融资融券,9
603063.SH,603063,17,智能电网;抽水蓄能;光伏概念;储能;风电;粤港澳大湾区;海工装备;氢能源;沪股通;融资融券,10
600076.SH,600076,17,乡村振兴;碳中和;回购增持再贷款概念;国企改革;芯片概念;碳交易;土地流转;融资融券,8
600488.SH,600488,17,仿制药一致性评价;创新药;辅助生殖;京津冀一体化;数字经济;沪股通,6
600769.SH,600769,17,国企改革,1
688167.SH,688167,17,光纤概念;共封装光学(CPO);光刻机;MicroLED概念;先进封装;MR(混合现实);OLED;消费电子概念;存储芯片;芯片概念;3D打印;智能座舱;机器视觉;虚拟现实;无人驾驶;可控核聚变;回购增持再贷款概念;医美概念;西部大开发;沪股通;融资融券,21
002281.SZ,002281,33,F5G概念;光纤概念;共封装光学(CPO);6G概念;液冷服务器;5G;芯片概念;数据中心;东数西算(算力);量子科技;华为概念;抖音概念(字节概念);阿里巴巴概念;腾讯概念;百度概念;央企国企改革;国企改革;深股通;融资融券;股权转让(并购重组),20
605255.SH,605255,17,汽车热管理;长安汽车概念;新能源汽车;燃料电池;沪股通;股权转让(并购重组),6
603738.SH,603738,17,共封装光学(CPO);光刻机;6G概念;WiFi 6;华为海思概念股;5G;卫星导航;芯片概念;军工;汽车电子;消费电子概念;智能穿戴;AI眼镜;人形机器人;无人机;数据中心;宁德时代概念;汽车芯片;比亚迪概念;华为概念;智能座舱;专精特新;无人驾驶;机器人概念;MCU芯片;创投;融资融券;沪股通,28
002718.SZ,002718,33,长三角一体化;智能家居;网红经济;股权转让(并购重组),4
002865.SZ,002865,33,钙钛矿电池;BC电池;TOPCON电池;商业航天;光伏概念;海南自贸区;融资融券;深股通,8
603061.SH,603061,17,芯片概念;2025年报预增;专精特新;沪股通,4
600234.SH,600234,17,抖音概念(字节概念);物业管理;文化传媒概念;摘帽,4
002179.SZ,002179,33,铜缆高速连接;成飞概念;大飞机;6G概念;军民融合;商业航天;光纤概念;卫星导航;国产航母;军工;换电概念;5G;可控核聚变;无人机;液冷服务器;充电桩;核电;新能源汽车;低空经济;高压快充;特斯拉概念;储能;光伏概念;芯片概念;比亚迪概念;专精特新;共封装光学(CPO);智能电网;量子科技;机器人概念;数据中心;国企改革;华为概念;无人驾驶;车联网(车路协同);深股通;融资融券;中字头股票,38
603045.SH,603045,17,汽车电子;5G;数据中心;比亚迪概念;BC电池;新能源汽车;智能电网;HJT电池;TOPCON电池;智能家居;工业互联网;充电桩;高铁;储能;2025年报预增;金属回收;黄金概念;股权转让(并购重组);融资融券,19
002396.SZ,002396,33,F5G概念;WiFi 6;共封装光学(CPO);5G;数据中心;网络安全;信创;华为概念;车联网(车路协同);物联网;阿里巴巴概念;机器人概念;抖音概念(字节概念);腾讯概念;鸿蒙概念;数字货币;移动支付;人工智能;AIGC概念;智能家居;AI应用;在线教育;DeepSeek概念;海峡两岸;脑机接口;互联网金融;福建自贸区;文化传媒概念;国企改革;证金持股;深股通;融资融券,32
