股票代码,所属概念数量,所属概念,code,market_code
001314.SZ,25,智能音箱;空间计算;物联网;数字货币;智能穿戴;鸿蒙概念;机器人概念;智能家居;人工智能;DeepSeek概念;虚拟现实;元宇宙;AI眼镜;MR(混合现实);粤港澳大湾区;多模态AI;专精特新;电子竞技;消费电子概念;AIGC概念;AI PC;2025年报预增;先进封装;PCB概念;深股通,001314,33
600123.SH,6,煤炭概念;煤化工概念;化肥;国企改革;沪股通;融资融券,600123,17
300977.SZ,16,AI应用;AI语料;数据要素;智慧政务;人工智能;房屋检测;数字经济;智慧城市;装配式建筑;新型城镇化;数据中心;雄安新区;水利;PM2.5;碳中和;融资融券,300977,33
300603.SZ,35,算力租赁;东数西算(算力);云计算;网络安全;阿里巴巴概念;信创;腾讯概念;智慧政务;百度概念;抖音概念(字节概念);区块链;数据确权;华为概念;DeepSeek概念;智慧城市;数字乡村;数据中心;安防;数字经济;物联网;车联网(车路协同);独角兽概念;时空大数据;互联网金融;5G;ETC;文化传媒概念;液冷服务器;水利;网红经济;一带一路;西部大开发;AI应用;新疆振兴;深股通,300603,33
688328.SH,23,MiniLED;电子纸;存储芯片;先进封装;柔性屏(折叠屏);第三代半导体;OLED;消费电子概念;芯片概念;AI眼镜;小米概念;新型工业化;智能穿戴;共封装光学(CPO);MR(混合现实);新能源汽车;专精特新;机器视觉;机器人概念;华为概念;锂电池概念;虚拟现实;融资融券,688328,17
688121.SH,2,碳中和;融资融券,688121,17
603985.SH,11,英伟达概念;东数西算(算力);算力租赁;高端装备;核电;DeepSeek概念;海工装备;风电;国企改革;融资融券;沪股通,603985,17
300226.SZ,16,AI语料;ChatGPT概念;AIGC概念;多模态AI;AI智能体;数据要素;百度概念;鸿蒙概念;区块链;DeepSeek概念;人工智能;互联网金融;AI应用;工业互联网;深股通;融资融券,300226,33
300677.SZ,8,医疗器械概念;人民币贬值受益;创投;跨境电商;养老概念;智能医疗;融资融券;深股通,300677,33
688309.SH,7,固废处理;碳中和;高端装备;2025年报预增;专精特新;人民币贬值受益;融资融券,688309,17
688207.SH,26,MLOps概念;华为昇腾;多模态AI;AI智能体;智慧政务;数据要素;元宇宙;人脸识别;空间计算;DeepSeek概念;人工智能;车联网(车路协同);虚拟现实;智慧城市;华为概念;互联网金融;AI PC;机器视觉;智能穿戴;无人驾驶;无人机;机器人概念;军工;体育产业;高铁;融资融券,688207,17
300383.SZ,18,算力租赁;MLOps概念;抖音概念(字节概念);云计算;AIGC概念;华为鲲鹏;东数西算(算力);百度概念;区块链;DeepSeek概念;数据中心;数字经济;华为概念;液冷服务器;工业互联网;京津冀一体化;深股通;融资融券,300383,33
002803.SZ,24,AIGC概念;抖音概念(字节概念);ChatGPT概念;数据要素;云计算;华为盘古;信创;人工智能;华为概念;海峡两岸;福建自贸区;跨境电商;智能物流;专精特新;人民币贬值受益;新型烟草(电子烟);2025年报预增;宠物经济;回购增持再贷款概念;2025三季报预增;一带一路;白酒概念;融资融券;深股通,002803,33
920207.BJ,30,AI应用;AI智能体;虚拟现实;融资融券;空间计算;虚拟数字人;职业教育;智能医疗;数字经济;华为概念;智慧城市;芯片概念;智慧政务;元宇宙;多模态AI;网络安全;数字孪生;信创;数据要素;数据中心;数据安全;华为鲲鹏;鸿蒙概念;华为昇腾;人工智能;东数西算(算力);DeepSeek概念;云计算;AIGC概念;专精特新,920207,151
300496.SZ,56,MLOps概念;多模态AI;华为欧拉;ChatGPT概念;鸿蒙概念;AI智能体;AIGC概念;百度概念;语音技术;中国AI 50;元宇宙;国产操作系统;阿里巴巴概念;虚拟数字人;抖音概念(字节概念);智能音箱;车联网(车路协同);腾讯概念;区块链;虚拟现实;人工智能;AI手机;DeepSeek概念;智能座舱;英伟达概念;华为概念;华为海思概念股;机器视觉;独角兽概念;MR(混合现实);物联网;数字经济;智能穿戴;无人驾驶;AI PC;智能医疗;AI眼镜;低空经济;小米概念;传感器;无人机;5G;机器人概念;新型工业化;消费电子概念;小米汽车;智能家居;比亚迪概念;长安汽车概念;华为汽车;智能物流;AI应用;智能电网;回购增持再贷款概念;深股通;融资融券,300496,33
688268.SH,14,中芯国际概念;光刻胶;光刻机;存储芯片;第三代半导体;芯片概念;氟化工概念;专精特新;氢能源;核电;粤港澳大湾区;俄乌冲突概念;沪股通;融资融券,688268,17
300643.SZ,10,华为汽车;长安汽车概念;特斯拉概念;传感器;专精特新;汽车电子;车联网(车路协同);人民币贬值受益;芯片概念;深股通,300643,33
300763.SZ,6,光伏概念;绿色电力;储能;芯片概念;融资融券;深股通,300763,33
605287.SH,11,Sora概念(文生视频);短剧游戏;AI应用;AIGC概念;虚拟现实;文化传媒概念;回购增持再贷款概念;装配式建筑;光伏建筑一体化;新型城镇化;乡村振兴,605287,17
001267.SZ,8,共封装光学(CPO);铜缆高速连接;土壤修复;污水处理;新型城镇化;乡村振兴;深股通;股权转让(并购重组),001267,33
002380.SZ,25,核电;电力物联网;智能电网;虚拟电厂;光热发电;超超临界发电;工业互联网;新型工业化;华为概念;信创;储能;机器视觉;AI智能体;人工智能;专精特新;智慧城市;数据要素;机器人概念;数字经济;传感器;碳中和;一带一路;垃圾分类;AI应用;深股通,002380,33
