股票代码,所属概念数量,code,所属概念,market_code
301313.SZ,29,301313,智谱AI;ChatGPT概念;华为鲲鹏;AIGC概念;虚拟数字人;智慧政务;百度概念;数据要素;空间计算;元宇宙;军工信息化;人工智能;数字孪生;车联网(车路协同);智慧城市;数字经济;虚拟现实;物联网;智能医疗;低空经济;数据中心;IP经济(谷子经济);机器人概念;AI应用;水利;旅游概念;地下管网;污水处理;融资融券,33
300657.SZ,43,300657,算力租赁;东数西算(算力);英伟达概念;液冷服务器;数据中心;AI PC;云计算;共封装光学(CPO);智谱AI;AI手机;阿里巴巴概念;抖音概念(字节概念);华为概念;虚拟现实;AI眼镜;智能穿戴;消费电子概念;汽车电子;卫星导航;元宇宙;PCB概念;小米概念;柔性屏(折叠屏);无线耳机;商业航天;传感器;无人机;华为手机;MiniLED;DeepSeek概念;军工;新型烟草(电子烟);机器人概念;2025年报预增;小米汽车;新能源汽车;智能医疗;海峡两岸;储能;宁德时代概念;福建自贸区;深股通;融资融券,33
688579.SH,19,688579,数据确权;智慧政务;信创;区块链;数据要素;AI智能体;虚拟数字人;DRG/DIP;DeepSeek概念;人工智能;虚拟现实;华为概念;智能医疗;量子科技;智能电网;虚拟电厂;AI应用;国企改革;融资融券,17
000586.SZ,6,000586,光纤概念;5G;特高压;专精特新;智能电网;西部大开发,33
301095.SZ,12,301095,光刻机;共封装光学(CPO);存储芯片;第三代半导体;芯片概念;专精特新;信创;人工智能;AI智能体;DeepSeek概念;深股通;融资融券,33
003015.SZ,6,003015,消费电子概念;柔性屏(折叠屏);小米概念;新能源汽车;华为概念;PET铜箔,33
920576.BJ,9,920576,可控核聚变;商业航天;核电;西部大开发;海工装备;融资融券;国企改革;卫星导航;专精特新,151
300246.SZ,7,300246,血氧仪;智能医疗;横琴新区;民营医院;医疗器械概念;三胎概念;智能穿戴,33
688766.SH,8,688766,存储芯片;MCU芯片;芯片概念;汽车电子;小米概念;华为概念;融资融券;沪股通,17
688416.SH,10,688416,存储芯片;MCU芯片;中芯国际概念;芯片概念;消费电子概念;小米概念;语音技术;人工智能;回购增持再贷款概念;融资融券,17
300586.SZ,15,300586,染料;固态电池;锂电池概念;钠离子电池;可降解塑料;PCB概念;宁德时代概念;消毒剂;专精特新;芯片概念;燃料电池;储能;氢能源;深股通;融资融券,33
688171.SH,11,688171,量子科技;网络安全;数据安全;工业互联网;信创;军工信息化;电力物联网;数据要素;智能电网;虚拟电厂;融资融券,17
000682.SZ,23,000682,电力物联网;智能电网;虚拟电厂;风电;充电桩;核电;储能;数据中心;工业互联网;机器人概念;物联网;华为概念;智慧城市;网络安全;人脸识别;DeepSeek概念;人工智能;语音技术;国企改革;区块链;2026一季报预增;融资融券;深股通,33
688066.SH,25,688066,军工信息化;卫星导航;商业航天;华为昇腾;时空大数据;空间计算;军工;云计算;无人机;AI智能体;低空经济;数据要素;数字孪生;智慧城市;人工智能;华为概念;MR(混合现实);DeepSeek概念;钙钛矿电池;水利;雄安新区;碳中和;AI应用;沪股通;融资融券,17
301139.SZ,18,301139,智慧城市;数字乡村;数据要素;算力租赁;人工智能;东数西算(算力);数字经济;华为概念;车联网(车路协同);5G;机器人概念;京津冀一体化;充电桩;储能;光伏概念;西部大开发;AI应用;融资融券,33
