market_code,股票代码,code,所属概念,所属概念数量
17,605111.SH,605111,先进封装;汽车芯片;第三代半导体;芯片概念;汽车电子;数据中心(AIDC);东数西算(算力);光伏概念;专精特新;无人机;比亚迪概念;宁德时代概念;新能源汽车;机器人概念;无人驾驶;充电桩;低空经济;融资融券;沪股通,19
33,300221.SZ,300221,PCB概念;消费电子概念;5G;OLED;碳纤维;新型烟草(电子烟);3D打印;新能源汽车;无人机;机器人概念;2025年报预增;可降解塑料;网约车;创投;NMN概念,15
33,000803.SZ,000803,固废处理;西部大开发;国企改革;数字经济;工业互联网;物联网,6
33,002957.SZ,002957,共封装光学(CPO);苹果概念;液冷服务器;新型烟草(电子烟);消费电子概念;芯片概念;无线耳机;AI眼镜;智能穿戴;机器视觉;比亚迪概念;虚拟现实;固态电池;宁德时代概念;新型工业化;2025年报预增;华为概念;粤港澳大湾区;锂电池概念;无人机;物联网;低空经济;机器人概念;工业互联网;人形机器人;智能物流;融资融券;深股通,28
33,002735.SZ,002735,军工信息化;军工;可控核聚变;低空经济;核电;飞行汽车(eVTOL);信创;比亚迪概念;新能源汽车;医疗器械概念;光伏概念;储能;可降解塑料;无线充电;富士康概念;两轮车;深股通,17
33,300182.SZ,300182,AI视频;快手概念;短剧游戏;AI语料;ChatGPT概念;AIGC概念;虚拟数字人;多模态AI;抖音概念(字节概念);华为盘古;AI应用;NFT概念;百度概念;阿里巴巴概念;文化传媒概念;腾讯概念;AI智能体;华为昇腾;元宇宙;数据要素;在线教育;DeepSeek概念;IP经济(谷子经济);数字经济;人工智能;虚拟现实;华为概念;军工信息化;小米概念;深股通;融资融券,31
17,603601.SH,603601,商业航天;大飞机;PM2.5;核污染防治;特斯拉概念;核电;新能源汽车;芯片概念;宁德时代概念;家用电器;建筑节能;中芯国际概念;西部大开发;融资融券,14
33,003006.SZ,003006,三胎概念;西部大开发;深股通,3
33,300596.SZ,300596,合成生物;基因测序;乡村振兴;京津冀一体化;光伏概念;新能源汽车;消费电子概念;OLED;AI眼镜;智能穿戴;柔性屏(折叠屏);先进封装;融资融券;深股通,14
17,688796.SH,688796,CRO概念;科创次新股;基因测序;智能医疗;注册制次新股;2025年报预增;人民币贬值受益;AI智能体;沪股通;新股与次新股;融资融券,11
33,002741.SZ,002741,PCB概念;PET铜箔;先进封装;固态电池;富士康概念;宁德时代概念;锂电池概念;芯片概念;钠离子电池;共封装光学(CPO);氟化工概念;5G;动力电池回收;比亚迪概念;消毒剂;融资融券;深股通,17
33,002669.SZ,002669,PCB概念;新能源汽车;毫米波雷达;碳纤维;消费电子概念;专精特新;锂电池概念;传感器;机器人概念;军工;高铁;先进封装;商业航天;军民融合;芯片概念;5G;回购增持再贷款概念;低空经济;一带一路;光伏概念;卫星导航;华为概念;军工信息化;风电;MCU芯片;国企改革;数字经济,27
17,600985.SH,600985,煤炭概念;煤化工概念;超超临界发电;绿色电力;民爆概念;国企改革;华为概念;融资融券;沪股通,9
151,920058.BJ,920058,中俄贸易概念;体育产业;人民币贬值受益;融资融券;两轮车,5
33,300739.SZ,300739,PCB概念;共封装光学(CPO);MiniLED;先进封装;6G概念;5G;芯片概念;无人机;新能源汽车;2025年报预增;东数西算(算力);机器人概念;储能;粤港澳大湾区;人民币贬值受益;深股通;融资融券,17
17,601016.SH,601016,绿色电力;风电;储能;新疆振兴;央企国企改革;国企改革;京津冀一体化;回购增持再贷款概念;沪股通;融资融券,10
17,688781.SH,688781,科创次新股;注册制次新股;智能穿戴;芯片概念;AI眼镜;OLED;新股与次新股;融资融券,8
17,688786.SH,688786,消费电子概念;柔性屏(折叠屏);3D打印;专精特新;军工;动力电池回收;特钢概念;融资融券,8
33,301200.SZ,301200,PCB概念;先进封装;工业母机;2025年报预增;高端装备;深股通;融资融券,7
33,300831.SZ,300831,柔性直流输电;西部大开发;特高压;国企改革;芯片概念,5
33,301377.SZ,301377,PCB概念;工业母机;机器视觉;机器人概念;高端装备;2025年报预增;粤港澳大湾区;深股通;融资融券,9
33,000636.SZ,000636,超级电容;共封装光学(CPO);5G;AI眼镜;汽车电子;高压快充;智能穿戴;液冷服务器;传感器;卫星导航;商业航天;东数西算(算力);小金属概念;光伏概念;华为概念;无人机;比亚迪概念;锂电池概念;储能;机器人概念;低空经济;粤港澳大湾区;创投;国企改革;深股通;数据中心(AIDC);融资融券,27
33,300757.SZ,300757,共封装光学(CPO);光纤概念;富士康概念;苹果概念;华为海思概念股;BC电池;芯片概念;英伟达概念;TOPCON电池;HJT电池;新能源汽车;数据中心(AIDC);新型工业化;量子科技;光伏概念;高端装备;商业航天;华为概念;工业互联网;股权转让(并购重组);融资融券;深股通,22
33,000799.SZ,000799,白酒概念;国企改革;央企国企改革;深股通;融资融券,5
17,603693.SH,603693,生物质能发电;绿色电力;风电;充电桩;国企改革;储能;海工装备;钠离子电池;沪股通;融资融券,10
17,603678.SH,603678,超级电容;5G;商业航天;第三代半导体;芯片概念;小米概念;军工;专精特新;新能源汽车;核电;2025年报预增;海峡两岸;人工智能;创投;数据中心(AIDC);沪股通;融资融券,17
17,688187.SH,688187,特高压;柔性直流输电;智能电网;第三代半导体;国家大基金持股;数据中心(AIDC);光伏概念;芯片概念;高铁;汽车芯片;海工装备;充电桩;储能;风电;小米概念;传感器;无人驾驶;新能源汽车;机器人概念;氢能源;数据要素;长安汽车概念;一带一路;央企国企改革;可燃冰;国企改革;沪股通;融资融券,28
17,600578.SH,600578,超超临界发电;绿色电力;蚂蚁集团概念;风电;煤炭概念;氢能源;高股息精选;储能;国企改革;京津冀一体化;证金持股;2025年报预增;沪股通;融资融券,14
