market_code,股票代码,所属概念数量,所属概念,code
17,688159.SH,29,算力租赁;云计算;信创;智慧政务;东数西算(算力);存储芯片;阿里巴巴概念;AI智能体;数据要素;鸿蒙概念;星闪概念;车联网(车路协同);数据中心;物联网;华为概念;智慧城市;人工智能;5G;电力物联网;低空经济;无人机;专精特新;机器人概念;粤港澳大湾区;比亚迪概念;智能电网;水利;沪股通;融资融券,688159
33,300215.SZ,5,柔性直流输电;特高压;智能电网;核电;储能,300215
17,603777.SH,6,腾讯概念;人工智能;智能物流;IP经济(谷子经济);白酒概念;融资融券,603777
33,300267.SZ,15,合成生物;仿制药一致性评价;幽门螺杆菌概念;维生素;医药电商;流感;消毒剂;医疗器械概念;智能医疗;锂电池概念;人工智能;AI应用;小金属概念;深股通;融资融券,300267
17,688800.SH,27,6G概念;铜缆高速连接;5G;液冷服务器;毫米波雷达;数据中心;卫星导航;商业航天;高压快充;专精特新;比亚迪概念;军工;人形机器人;特斯拉概念;光伏概念;充电桩;换电概念;2025年报预增;机器人概念;新能源汽车;军民融合;低空经济;储能;飞行汽车(eVTOL);医疗器械概念;沪股通;融资融券,688800
33,301357.SZ,11,军民融合;军工信息化;军工;西部大开发;无人机;专精特新;卫星导航;低空经济;飞行汽车(eVTOL);深股通;融资融券,301357
33,002831.SZ,7,液冷服务器;机器人概念;可降解塑料;宠物经济;深股通;高股息精选;融资融券,002831
17,600032.SH,8,抽水蓄能;绿色电力;风电;氢能源;储能;国企改革;沪股通;融资融券,600032
17,688096.SH,8,人工智能;污水处理;超导概念;云计算;DeepSeek概念;东数西算(算力);算力租赁;融资融券,688096
17,688383.SH,11,MicroLED概念;MiniLED;先进封装;芯片概念;人形机器人;商业航天;机器人概念;华为概念;锂电池概念;沪股通;融资融券,688383
33,300880.SZ,11,电力物联网;智能电网;虚拟电厂;高压快充;充电桩;物联网;储能;鸿蒙概念;传感器;专精特新;融资融券,300880
17,600192.SH,11,智能电网;风电;充电桩;核电;光伏概念;西部大开发;军工;国企改革;燃料电池;商业航天;融资融券,600192
151,920086.BJ,7,华为汽车;新能源汽车;比亚迪概念;华为概念;专精特新;新股与次新股;融资融券,920086
17,603126.SH,18,光热发电;光伏建筑一体化;生物质能发电;绿色电力;储能;固废处理;碳交易;建筑节能;碳中和;雄安新区;工业互联网;京津冀一体化;一带一路;2025年报预增;央企国企改革;国企改革;中字头股票;融资融券,603126
17,605068.SH,7,华为汽车;人形机器人;长安汽车概念;机器人概念;新能源汽车;比亚迪概念;回购增持再贷款概念,605068
33,002903.SZ,17,富士康概念;苹果概念;工业母机;消费电子概念;芯片概念;第三代半导体;军工;新型工业化;比亚迪概念;同花顺新质50;减速器;专精特新;小米概念;新能源汽车;华为概念;机器人概念;融资融券,002903
17,601958.SH,7,小金属概念;军工;西部大开发;OLED;国企改革;沪股通;融资融券,601958
33,300295.SZ,10,租售同权;养老概念;文化传媒概念;人工智能;数据要素;AI应用;互联网金融;DeepSeek概念;AI智能体;ST板块,300295
17,600184.SH,15,光纤概念;共封装光学(CPO);国产航母;军民融合;军工;机器视觉;AI眼镜;专精特新;人形机器人;机器人概念;央企国企改革;回购增持再贷款概念;国企改革;沪股通;融资融券,600184
17,688498.SH,9,共封装光学(CPO);光纤概念;5G;汽车芯片;芯片概念;数据中心;西部大开发;沪股通;融资融券,688498
17,688256.SH,12,中国AI 50;汽车芯片;先进封装;芯片概念;同花顺新质50;东数西算(算力);阿里巴巴概念;数据中心;国产操作系统;人工智能;沪股通;融资融券,688256
33,301373.SZ,3,光伏概念;专精特新;融资融券,301373
17,605098.SH,6,高股息精选;在线教育;AI应用;职业教育;DeepSeek概念;沪股通,605098
33,300317.SZ,11,虚拟电厂;光伏建筑一体化;绿色电力;风电;光伏概念;华为概念;储能;粤港澳大湾区;国企改革;OLED;锂电池概念,300317
33,002896.SZ,9,减速器;人形机器人;新型工业化;机器人概念;新能源汽车;共同富裕示范区;长三角一体化;融资融券;深股通,002896
17,600698.SH,9,兵装重组概念;央企国企改革;国企改革;高铁;长安汽车概念;汽车热管理;新能源汽车;融资融券;沪股通,600698
33,301150.SZ,10,PET铜箔;固态电池;宁德时代概念;锂电池概念;PCB概念;比亚迪概念;储能;专精特新;深股通;融资融券,301150
17,688332.SH,19,星闪概念;语音技术;智能音箱;物联网;AI眼镜;专精特新;智能穿戴;芯片概念;人工智能;小米概念;百度概念;2025年报预增;无线耳机;抖音概念(字节概念);消费电子概念;独角兽概念;共封装光学(CPO);沪股通;融资融券,688332
17,688272.SH,12,卫星导航;量子科技;军民融合;军工;无人机;机器视觉;车联网(车路协同);专精特新;芯片概念;无人驾驶;机器人概念;融资融券,688272
33,300062.SZ,14,智能电网;充电桩;绿色电力;高压快充;储能;光伏概念;高铁;锂电池概念;海峡两岸;福建自贸区;宁德时代概念;机器人概念;一带一路;新能源汽车,300062
