code,股票代码,所属概念,market_code,所属概念数量
002601,002601.SZ,钛白粉概念;小金属概念;石墨电极;金属钴;钒电池;天然气;回购增持再贷款概念;锂电池概念;高股息精选;氢能源;固态电池;宁德时代概念;养老概念;深股通;融资融券,33,15
600355,600355.SH,ST板块;国产操作系统;电子身份证;语音技术;人脸识别;物联网;新型工业化;机器人概念;人工智能;工业互联网;充电桩;在线教育;机器视觉;智能电网;OLED,22,15
301489,301489.SZ,液冷服务器;富士康概念;AI PC;AI手机;AI眼镜;消费电子概念;比亚迪概念;无线充电;小米概念;汽车热管理;小米汽车;新能源汽车;石墨烯;储能;专精特新;华为概念;机器人概念;智能家居;一带一路;深股通;融资融券,33,21
000638,000638.SZ,军民融合;重组蛋白;军工;民营医院;京津冀一体化;ST板块;肝炎概念;生物疫苗;粮食概念;玉米,33,10
002240,002240.SZ,盐湖提锂;固态电池;小金属概念;锂电池概念;宁德时代概念;比亚迪概念;回购增持再贷款概念;西部大开发;深股通;融资融券,33,10
301313,301313.SZ,智谱AI;ChatGPT概念;AIGC概念;虚拟数字人;空间计算;元宇宙;智慧政务;华为鲲鹏;百度概念;数据要素;人工智能;虚拟现实;智能医疗;数字经济;智慧城市;车联网(车路协同);数字孪生;IP经济(谷子经济);物联网;低空经济;数据中心;机器人概念;旅游概念;水利;地下管网;AI应用;污水处理;融资融券,33,28
000711,000711.SZ,ST板块;土壤修复;固废处理;黑龙江自贸区;雄安新区;PPP概念;污水处理;乡村振兴;水利;一带一路;金属回收;金属锌;小金属概念;物联网;无人机,33,15
001212,001212.SZ,先进封装;芯片概念;有机硅概念;回购增持再贷款概念;粤港澳大湾区;装配式建筑;深股通;股权转让(并购重组),33,8
000833,000833.SZ,磷化工;化肥;TOPCON电池;锂电池概念;光伏概念;2025三季报预增;农业种植;西部大开发;乡村振兴;2025年报预增;国企改革;广东自贸区;粤港澳大湾区;深股通,33,14
301591,301591.SZ,PEEK材料;新能源汽车;比亚迪概念;专精特新;氢能源;海工装备;军工;核电;风电;商业航天;卫星导航;医疗器械概念;融资融券,33,13
688158,688158.SH,云游戏;智谱AI;算力租赁;华为昇腾;云计算;财税数字化;数据安全;中国AI 50;智慧政务;信创;AI智能体;数字乡村;东数西算(算力);商业航天;数据要素;DeepSeek概念;智能医疗;数字经济;脑机接口;智慧城市;人工智能;数据中心;华为概念;低空经济;工业互联网;液冷服务器;无人驾驶;专精特新;机器人概念;融资融券,17,30
002424,002424.SZ,仿制药一致性评价;ST板块;流感;肝炎概念;创新药;民营医院;乡村振兴;参股银行;西部大开发;医疗器械概念;智能医疗;腾讯概念,33,12
300251,300251.SZ,文化传媒概念;抖音概念(字节概念);虚拟数字人;网络游戏;IP经济(谷子经济);AIGC概念;阿里巴巴概念;DeepSeek概念;虚拟现实;英伟达概念;2025年报预增;AI应用;深股通;融资融券;Sora概念(文生视频),33,15
002597,002597.SZ,代糖概念;煤化工概念;锂电池概念;固态电池;生物质能发电;合成生物;光伏概念;深股通;融资融券,33,9
600308,600308.SH,环氧丙烷;生物质能发电;一带一路;绿色电力;智能物流;数字孪生;数字经济;光伏概念;工业互联网;数据要素;DeepSeek概念;元宇宙;新型工业化;AI语料;AI应用;沪股通;融资融券,17,17
300344,300344.SZ,光伏建筑一体化;互联网金融;数据安全;ST板块;云计算;数字经济;信创;智慧城市;DeepSeek概念;人工智能;东数西算(算力);数字孪生;数据中心,33,13
603698,603698.SH,军民融合;军工;氢能源;碳中和;国企改革;煤化工概念;沪股通;融资融券,17,8
